timestamp,person,words,tags
,Lisa,"How about your house in Tacoma where you grew up? And all your belongings that you left in the church? What did you do with those, how did you get those belongings back and what happened to the house?",
,Jack,"We rented the house. Twenty-five dollars a month. Our belongings were returned to us by the government. I don't know if it was state or federal government or the war relocation authority, but they were returned to us. I had, we had to sell the car for a hundred dollars. It was a nineteen thirty four Buick. But, like my wife’s father, he was so afraid, he had a number of guns so he, I understand, he just took those guns and dropped them in the outhouse (laughs). But we never had guns in the house, just photographic equipment.",
,Lisa,"So what, you rented your house while you were in camps, is that right?",
(01:19:00),Jack,"Well, no, we left the house. After we were put on the train.",
,Lisa,Oh I see so you were renting it.,
,Jack,We were renting it.,
,Lisa,"About the Buddhist Church and the Methodist church, and your family wasn't really involved in them. Do you think those churches were important to the Japanese American community?",
,Jack,"Oh, I think very much so.",
,Lisa,In what ways?,
,Jack,"Well, they brought the community together, and, even the churches, I think stress good citizenship and old or older parents, it was a place to be, a place to go.",
,Lisa,Did your parents really go?,
,Jack,"Participation in activities, I think they participated, but they didn't attend church as such.",
,Lisa,Which church’s activities did they participate in?,
,Jack,"Mostly Buddhist, I think, the fact that we lived so close to the church.",
,Lisa,"Did you know where the Buddhist church was and the Methodist Church, were you aware of these buildings as a child?",
,Jack,"Oh yeah, I remember when it was built. We've always been right close by, all, almost all of my life. In fact all of my life until the war.",
,Lisa,"Would you also participate, which church’s activities would you go to?",
,Jack,Did I?,
,Lisa,Yeah.,
,Jack,"Ugh, that’s funny, when I was probably in my elementary school times I had more friends in the Methodist Church there, so I was more active in the Methodist Church but as I got older, through my classmates and friends, I became more active in the Buddhist church. Goes to show you I'm not very religious (laughs). But I think that was my style (laughs).",
(01:22:33),Lisa,"So, if you think about, you said that you thought these churches brought people together. Umm, how does that compare with the role of the Japanese Language School community?",
,Jack,In what way?,
,Lisa,Do you think that the language school also brought people together as a community center?,
,Jack,"Oh definitely. Definitely. I think, for the Isseis, you know, it was one of the three centers for them being together.",
,Lisa,What are the three centers?,
,Jack,"The Methodist Church, and the Buddhist Church, and the school.",
,Lisa,And how about for the Nisei?,
,Jack,"I think for the Nisei, maybe a little bit less, but still, I don't think the Niseis as a whole, as a group, participated too much in outside the, what activity or whatever. I think the churches and the school were just very important to us.",
(01:24:32),Lisa,"Are there other things about Tacoma, growing up, and your parents, especially your father as a photographer for the community and your mother as a teacher, that you’d like to share today that we didn't talk about?",
,Jack,"No, I think I covered pretty much what they all feel or felt. I think it's beautiful that the University and you folks are so much interested in the history of the Japanese American community.",
,Lisa,"Well, we want to thank you for participating in this project.",
,Jack,You’re welcome.,
,Lisa,It’s been a real pleasure.,
