timestamp,person,words,tags
,Lisa,How about when it snowed. Did you go sledding at all?,
,Hiroko,[nodding] Uh-huh. That was fun.,
,Lisa,Where would you go?,
,Hiroko,"Well we used to live on 15th, and then the street next to us, the hill next to us, I should say, somebody would be at the bottom of the hill and then when there’s no cars coming, they would say “Come on down.” So we’d sled down and a lot of times there would be a car coming. [laughs]",
,Lisa,Oh dear.,
,Lisa,Do you think the parents knew about this? What you were doing?,
,Hiroko,Probably.,
,Mary,It was just play.,
,Hiroko,Uh-huh.,
,Lisa,"How about any of the local businesses, or restaurants, or stores, are there any specific ones that you can remember that you went into, that you tended to frequent?",
,Hiroko,No.,
,Lisa,That’s okay.,
,Hiroko,"The grocery stores are something we would go and get just what we need, and then come home.",
,Mary,"Would you go with your mother, or would she send you out to do the shopping?",
,Hiroko,"When we got older, then she would send us. But otherwise we used to go with my mother.",
,Lisa,"Have you told your children much about growing up in Tacoma, and if so, what kinds of things have you told them?",
,Hiroko,"No, I haven’t told them very much of anything. It’s, when they ask something then I answer and tell them, but…",
,Lisa,Mm-hmm.,
,Hiroko,Yeah.,
,Mary,"Have you, have your children been to Tacoma, ever?",
,Hiroko,"The older son has been to Fort Lewis. He was, what, what is it, those weekend…",
,Mary,Reserve?,
,Hiroko,"Yeah, for a while. So he was there, and he met some of my friends over there.",
,Lisa,"So as we sit here and talk about Tacoma, and growing up there and, and going to the camps and coming to Chicago and all of that, are there certain things you think you would want your children to remember? Or to know?",
(00:45:06),Hiroko,"Oh not particularly, if they want to know anything then I tell them, but otherwise I don’t sit them down and talk to them.",
,Lisa,"What kinds of things have they been curious about? In terms of your, your life and your childhood?",
,Hiroko,"Oh, some of the things we used to play, or something like that.",
,Mary,Some people have said that their grandchildren are actually more interested in their history than their children.,
,Hiroko,"I have one granddaughter that’s, uh, wants to know more about Japanese things, and she wants to decorate her room in Japanese style, and things.",
,Mary,So have you helped her with some information and…,
,Hiroko,"Well I, I’ve gotten her books and things.",
,Mary,Uh-huh. How old is she?,
,Hiroko,She’s twelve.,
,Mary,Ah.,
,Lisa,Great.,
,Hiroko,"Very interested in soccer, and track, and softball, and she’s tall like her father. [laughs] Not quite as tall, but almost as tall.",
,Lisa,"Wow, that is tall.",
,Lisa,"And then just another question about the memories, what are s-, what’s your best memory and also your worst memory of your time in camp?",
,Hiroko,"Worst time in camp was when we had to go to the washroom when we first went into camp, because there was just, what, a row of seats with holes in it, no partitions in between, and so that was terrible. And best part, I guess was meeting people from different places, otherwise I would’ve been stuck in Tacoma and not known about anything else.",
,Lisa,"When you were living in Tacoma did you feel like you were stuck in Tacoma, or was that something that you experienced later?",
,Hiroko,"No, because we didn’t know anything else. And going to Seattle maybe once a year was a great big trip for us, you know?",
,Lisa,What would you do when you went to Seattle?,
,Hiroko,"Well my mother and father had friends over there, so we’d just go over there and visit.",
,Lisa,"How did they get to know the people in Seattle? Were, did they know them in Japan?",
,Hiroko,Mm-hmm.,
,Lisa,Okay.,
,Lisa,Or did you have any other relatives in the Seattle-Tacoma area?,
,Hiroko,"Well, I had two uncles that had come from Japan, but one went back to Japan, and then one died with kidney trouble when he was in Seattle.",
,Lisa,Okay.,
,Mary,Were they your father’s brothers?,
,Hiroko,Uh-huh.,
,Mary,Had they come at the same time that he came?,
,Hiroko,"They, no, they came much later.",
,Lisa,"Ah, so he was the first one.",
,Hiroko,Mm-hmm.,
,Hiroko,His parents had been here before.,
,Lisa,Oh.,
,Hiroko,"And I guess they had had a greenhouse someplace, and I don’t know when my father came back, but…",
,Lisa,"So they had a greenhouse, you mean, in the Seattle-Tacoma area?",
,Hiroko,"Mm-hmm, yes.",
,Lisa,"Oh. So he started in agriculture, then? In farming?",
,Hiroko,"My father didn’t, his parents did.",
,Lisa,Okay.,
,Hiroko,"And then they went back to Japan, and they had a bookstore.",
,Lisa,Oh.,
,Mary,"So they would’ve been here in, in Tacoma very early, it sounds like.",
,Hiroko,"Mm-hmm. Yeah. My grandfather came back once when I was little, and so I remember him, but that’s the only one.",
,Mary,And your parents never went back to Japan.,
,Hiroko,"They didn’t for a long time. And then my father went back to Japan to settle the estate, or whatever it is, because he had turned it over to his younger brother. Then when he passed away, it came back to my father, so he had gone back to settle it, and then my father passed away in Japan.",
,Mary,Oh…,
,Lisa,"Oh, is that right?",
,Mary,What year would that have been?,
,Hiroko,In ’63.,
,Lisa,So you were here in Chicago.,
,Hiroko,Pardon?,
,Lisa,You were here in Chicago.,
,Hiroko,"We were here, yeah.",
,Mary,And your mother was still living at that time.,
,Hiroko,Mm-hmm.,
,Lisa,"And your father then, was he born in Japan?",
,Hiroko,Uh-huh.,
(00:50:03),Lisa,"So the first time his parents came, was he born then? Did he come with them?",
,Hiroko,"I think he was here with them, and then he went back with them.",
,Lisa,"Umm, and where was he in the lineup of his siblings? Was he…",
,Hiroko,He was oldest.,
,Lisa,"He was the oldest, okay.",
,Hiroko,And he had two younger brothers and a sister. And two brothers are dead; I’m not sure about the sister.,
,Lisa,She stayed in Japan.,
,Hiroko,Mm-hmm. Yeah.,
,Lisa,"Well do you have any [Hiroko hiccups], well do you have any other memories or thoughts about Tacoma, or just even beyond Tacoma you’d like to share?",
,Hiroko,"Well, I used to like Tacoma. And going to Point Defiance, there was a hill that would go down that my father would speed down that hill. That I remember very well [laughs]. But I used to like to go to the beach…like Mount Rainier, it’s beautiful.",
,Lisa,That’s wonderful. Well thank you.,
,Hiroko,Thank you.,
,Mary,Thank you very much.,
,Mary,"Yeah, Lisa and I were saying earlier that this is a hard time to leave Tacoma, because it’s at early spring this year and everything’s in bloom, and the cherries, yeah and it’s so beautiful.",
,Hiroko,"Yeah, my sis-, my sister wrote and said her hyacinth is blooming, and her daffodils are blooming. Here, mine is just coming up that high, [holds fingers an inch apart] you know?",
,Mary,"But even that is, you know, it’s a sign of spring, it is.",
,Hiroko,"Yes, yes.",
,Lisa,Compared to this horizontal snow you’ve got here.,
,Mary,"Well thank you. Oh you know what, I’d like to get your picture on this camera real quick before, if that’s okay with you. Great.",
,Hiroko,"All right. [Lisa crosses in front of camera, Hiroko then poses for a still photo taken by Mary]",
,Mary,"Great, thank you.",
,Lisa,Thank you. [Lisa and Mary move into view to help Hiroko stand up],
